
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 128 | Reward: -2.409999999999999
Summary: 2 | Step: 256 | Reward: -3.109999999999996
Summary: 3 | Step: 384 | Reward: -2.27
Summary: 4 | Step: 512 | Reward: -2.7599999999999967
Summary: 5 | Step: 640 | Reward: -2.619999999999998
Summary: 6 | Step: 691 | Reward: -1.8700000000000003
Summary: 7 | Step: 761 | Reward: -2.750000000000001
Summary: 8 | Step: 768 | Reward: -0.14
Summary: 9 | Step: 864 | Reward: -3.0000000000000013
Summary: 10 | Step: 870 | Reward: -1.23
Summary: 11 | Step: 884 | Reward: -1.49
Summary: 12 | Step: 892 | Reward: -1.26
Summary: 13 | Step: 896 | Reward: -0.13
Summary: 14 | Step: 1024 | Reward: -2.0600000000000005
Summary: 15 | Step: 1102 | Reward: -2.870000000000001
Summary: 16 | Step: 1152 | Reward: -0.6799999999999997
Summary: 17 | Step: 1161 | Reward: -1.24
Summary: 18 | Step: 1164 | Reward: -1.01
Summary: 19 | Step: 1246 | Reward: -3.000000000000001
Summary: 20 | Step: 1280 | Reward: -0.5099999999999999
Summary: 21 | Step: 1408 | Reward: -2.9699999999999966
Summary: 22 | Step: 1455 | Reward: -1.6699999999999997
Summary: 23 | Step: 1482 | Reward: -1.65
Summary: 24 | Step: 1492 | Reward: -1.1500000000000001
Summary: 25 | Step: 1495 | Reward: -1.08
Summary: 26 | Step: 1496 | Reward: 1
Summary: 27 | Step: 1536 | Reward: -0.8100000000000002
Summary: 28 | Step: 1664 | Reward: -2.1999999999999997
Summary: 29 | Step: 1792 | Reward: -1.2200000000000006
Summary: 30 | Step: 1917 | Reward: -0.5800000000000005
Summary: 31 | Step: 1920 | Reward: -0.08
Summary: 32 | Step: 1966 | Reward: -1.4100000000000001
Summary: 33 | Step: 2048 | Reward: -1.3000000000000005
Summary: 34 | Step: 2080 | Reward: 0.7799999999999999
Summary: 35 | Step: 2124 | Reward: 1.09
Summary: 36 | Step: 2176 | Reward: 0.12999999999999995
Summary: 37 | Step: 2184 | Reward: 1.07
Summary: 38 | Step: 2202 | Reward: -0.99
Summary: 39 | Step: 2226 | Reward: -1.9200000000000004
Summary: 40 | Step: 2230 | Reward: -0.99
Summary: 41 | Step: 2238 | Reward: -1.12
Summary: 42 | Step: 2246 | Reward: -1.05
Summary: 43 | Step: 2277 | Reward: -1.9200000000000004
Summary: 44 | Step: 2289 | Reward: -1.3900000000000001
Summary: 45 | Step: 2304 | Reward: -0.19000000000000006
Summary: 46 | Step: 2320 | Reward: -0.9600000000000001
Summary: 47 | Step: 2328 | Reward: -1.05
Summary: 48 | Step: 2345 | Reward: -1.57
Summary: 49 | Step: 2432 | Reward: -2.25
Summary: 50 | Step: 2451 | Reward: -1.53
Summary: 51 | Step: 2475 | Reward: -1.57
Summary: 52 | Step: 2560 | Reward: -1.3800000000000006
Summary: 53 | Step: 2615 | Reward: -2.4900000000000007
Summary: 54 | Step: 2627 | Reward: -1.53
Summary: 55 | Step: 2688 | Reward: -0.38999999999999974
Summary: 56 | Step: 2701 | Reward: 1.03
Summary: 57 | Step: 2742 | Reward: 1.2399999999999998
Summary: 58 | Step: 2790 | Reward: -1.58
Summary: 59 | Step: 2809 | Reward: -1.6
Summary: 60 | Step: 2816 | Reward: -0.07
Summary: 61 | Step: 2848 | Reward: 0.9199999999999999
Summary: 62 | Step: 2930 | Reward: -2.2300000000000004
Summary: 63 | Step: 2944 | Reward: 0.20999999999999996
Summary: 64 | Step: 2951 | Reward: 1.05
Summary: 65 | Step: 2993 | Reward: 1.05
Summary: 66 | Step: 3021 | Reward: 1.33
Summary: 67 | Step: 3066 | Reward: -1.9200000000000002
Summary: 68 | Step: 3072 | Reward: -0.22999999999999998
Summary: 69 | Step: 3096 | Reward: -1.9200000000000004
Summary: 70 | Step: 3109 | Reward: -1.3
Summary: 71 | Step: 3141 | Reward: -2.2500000000000004
Summary: 72 | Step: 3151 | Reward: -1.36
Summary: 73 | Step: 3168 | Reward: -1.5699999999999998
Summary: 74 | Step: 3182 | Reward: -1.35
Summary: 75 | Step: 3200 | Reward: 0.15
Summary: 76 | Step: 3245 | Reward: -1.6400000000000001
Summary: 77 | Step: 3262 | Reward: -1.7800000000000002
Summary: 78 | Step: 3275 | Reward: -1.44
Summary: 79 | Step: 3302 | Reward: -1.7200000000000002
Summary: 80 | Step: 3315 | Reward: -1.23
Summary: 81 | Step: 3328 | Reward: -0.36999999999999994
Summary: 82 | Step: 3332 | Reward: -0.99
Summary: 83 | Step: 3347 | Reward: -1.6800000000000002
Summary: 84 | Step: 3374 | Reward: 0.8200000000000002
Summary: 85 | Step: 3399 | Reward: 1.34
Summary: 86 | Step: 3456 | Reward: -1.3100000000000005
Summary: 87 | Step: 3465 | Reward: -1.38
Summary: 88 | Step: 3490 | Reward: -1.9700000000000002
Summary: 89 | Step: 3501 | Reward: -1.27
Summary: 90 | Step: 3543 | Reward: 1.4
Summary: 91 | Step: 3560 | Reward: -1.08
Summary: 92 | Step: 3579 | Reward: -1.8100000000000003
Summary: 93 | Step: 3584 | Reward: -0.18
Summary: 94 | Step: 3591 | Reward: -1.21
Summary: 95 | Step: 3611 | Reward: -1.79
Summary: 96 | Step: 3624 | Reward: -1.5099999999999998
Summary: 97 | Step: 3650 | Reward: -2.0200000000000005
Summary: 98 | Step: 3671 | Reward: -1.35
Summary: 99 | Step: 3683 | Reward: -1.3900000000000001
Summary: 100 | Step: 3697 | Reward: -1.49
Summary: 101 | Step: 3709 | Reward: -1.53
Summary: 102 | Step: 3712 | Reward: -0.08
Summary: 103 | Step: 3720 | Reward: -1.33
Summary: 104 | Step: 3732 | Reward: -1.53
Summary: 105 | Step: 3763 | Reward: -1.01
Summary: 106 | Step: 3780 | Reward: 0.97
Summary: 107 | Step: 3809 | Reward: 1.21
Summary: 108 | Step: 3829 | Reward: -0.9500000000000001
Summary: 109 | Step: 3840 | Reward: 0.010000000000000012
Summary: 110 | Step: 3844 | Reward: -0.99
Summary: 111 | Step: 3875 | Reward: 1.11
Summary: 112 | Step: 3899 | Reward: 1.18
Summary: 113 | Step: 3943 | Reward: -1.9400000000000004
Summary: 114 | Step: 3968 | Reward: 0.14999999999999994
Summary: 115 | Step: 3974 | Reward: -1.09
Summary: 116 | Step: 3989 | Reward: -1.4
Summary: 117 | Step: 4002 | Reward: -1.09
Summary: 118 | Step: 4017 | Reward: -1.6800000000000002
Summary: 119 | Step: 4037 | Reward: -1.7200000000000002
Summary: 120 | Step: 4047 | Reward: -1.43
Summary: 121 | Step: 4051 | Reward: -1.1300000000000001
Summary: 122 | Step: 4052 | Reward: -0.98
Summary: 123 | Step: 4061 | Reward: -1.31
Summary: 124 | Step: 4076 | Reward: 1.0
Summary: 125 | Step: 4096 | Reward: 0.12000000000000004
Summary: 126 | Step: 4109 | Reward: -0.88
Summary: 127 | Step: 4126 | Reward: -1.01
Summary: 128 | Step: 4140 | Reward: 1.12
Summary: 129 | Step: 4172 | Reward: 1.34
Summary: 130 | Step: 4204 | Reward: 1.3399999999999999
Summary: 131 | Step: 4224 | Reward: 0.18999999999999997
Summary: 132 | Step: 4239 | Reward: 0.93
Summary: 133 | Step: 4266 | Reward: -1.02
Summary: 134 | Step: 4284 | Reward: -1.7600000000000002
Summary: 135 | Step: 4299 | Reward: -1.54
Summary: 136 | Step: 4326 | Reward: -1.09
Summary: 137 | Step: 4350 | Reward: 1.25
