
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 65 | Reward: -2.2200000000000006
Summary: 2 | Step: 92 | Reward: -1.8600000000000003
Summary: 3 | Step: 121 | Reward: -2.1700000000000004
Summary: 4 | Step: 128 | Reward: 6.938893903907228e-18
Summary: 5 | Step: 240 | Reward: -2.8900000000000006
Summary: 6 | Step: 256 | Reward: -0.16999999999999998
Summary: 7 | Step: 272 | Reward: 1.09
Summary: 8 | Step: 384 | Reward: -1.7500000000000009
Summary: 9 | Step: 485 | Reward: -3.25
Summary: 10 | Step: 498 | Reward: -1.58
Summary: 11 | Step: 512 | Reward: -0.48999999999999994
Summary: 12 | Step: 525 | Reward: -1.3
Summary: 13 | Step: 526 | Reward: -0.98
Summary: 14 | Step: 536 | Reward: -1.43
Summary: 15 | Step: 552 | Reward: -1.45
Summary: 16 | Step: 558 | Reward: -1.09
Summary: 17 | Step: 640 | Reward: -0.88
Summary: 18 | Step: 654 | Reward: -1.42
Summary: 19 | Step: 664 | Reward: -1.3599999999999999
Summary: 20 | Step: 674 | Reward: -1.22
Summary: 21 | Step: 686 | Reward: -1.53
Summary: 22 | Step: 690 | Reward: -1.1300000000000001
Summary: 23 | Step: 716 | Reward: -1.81
Summary: 24 | Step: 743 | Reward: -2.0000000000000004
Summary: 25 | Step: 768 | Reward: 0.21999999999999997
Summary: 26 | Step: 776 | Reward: 0.93
Summary: 27 | Step: 796 | Reward: -1.23
Summary: 28 | Step: 841 | Reward: -1.85
Summary: 29 | Step: 842 | Reward: -0.98
Summary: 30 | Step: 845 | Reward: -1.08
Summary: 31 | Step: 877 | Reward: 1.27
Summary: 32 | Step: 896 | Reward: -0.03999999999999998
Summary: 33 | Step: 928 | Reward: 1.1300000000000001
Summary: 34 | Step: 957 | Reward: -0.7
Summary: 35 | Step: 966 | Reward: 1.02
Summary: 36 | Step: 1013 | Reward: 1.36
Summary: 37 | Step: 1024 | Reward: 0.009999999999999995
Summary: 38 | Step: 1054 | Reward: 1.3
Summary: 39 | Step: 1088 | Reward: 1.31
Summary: 40 | Step: 1109 | Reward: 1.26
Summary: 41 | Step: 1139 | Reward: 1.23
Summary: 42 | Step: 1152 | Reward: 0.18999999999999997
Summary: 43 | Step: 1169 | Reward: 1.11
Summary: 44 | Step: 1199 | Reward: 1.4400000000000002
Summary: 45 | Step: 1226 | Reward: 1.3800000000000001
Summary: 46 | Step: 1251 | Reward: 1.2
Summary: 47 | Step: 1280 | Reward: 0.22999999999999998
Summary: 48 | Step: 1287 | Reward: 0.91
Summary: 49 | Step: 1312 | Reward: 1.2
Summary: 50 | Step: 1340 | Reward: 1.33
Summary: 51 | Step: 1362 | Reward: 1.35
Summary: 52 | Step: 1401 | Reward: 1.2
Summary: 53 | Step: 1408 | Reward: 6.938893903907228e-18
Summary: 54 | Step: 1425 | Reward: 1.25
Summary: 55 | Step: 1461 | Reward: -1.0499999999999998
Summary: 56 | Step: 1481 | Reward: 1.24
Summary: 57 | Step: 1536 | Reward: -0.6499999999999998
Summary: 58 | Step: 1595 | Reward: 0.9000000000000002
Summary: 59 | Step: 1623 | Reward: -1.3499999999999999
Summary: 60 | Step: 1664 | Reward: 0.11999999999999982
Summary: 61 | Step: 1669 | Reward: -1.1800000000000002
Summary: 62 | Step: 1718 | Reward: 0.3500000000000001
Summary: 63 | Step: 1756 | Reward: -1.6400000000000001
Summary: 64 | Step: 1792 | Reward: -0.9600000000000003
Summary: 65 | Step: 1815 | Reward: -1.24
Summary: 66 | Step: 1859 | Reward: -1.24
Summary: 67 | Step: 1897 | Reward: -2.0600000000000005
Summary: 68 | Step: 1898 | Reward: -0.98
Summary: 69 | Step: 1920 | Reward: -0.5399999999999998
Summary: 70 | Step: 1997 | Reward: -2.1900000000000004
Summary: 71 | Step: 2012 | Reward: 1.0
Summary: 72 | Step: 2047 | Reward: 1.4000000000000001
Summary: 73 | Step: 2048 | Reward: 0.02
Summary: 74 | Step: 2068 | Reward: 1.24
