
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 94 | Reward: 0.5500000000000005
Summary: 2 | Step: 128 | Reward: 0.05
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 128 | Reward: -2.549999999999998
Summary: 2 | Step: 235 | Reward: -1.66
Summary: 3 | Step: 256 | Reward: -0.7000000000000001
Summary: 4 | Step: 384 | Reward: -2.759999999999996
Summary: 5 | Step: 471 | Reward: -0.010000000000000231
Summary: 6 | Step: 508 | Reward: 1.16
Summary: 7 | Step: 512 | Reward: -0.06
Summary: 8 | Step: 568 | Reward: 0.98
Summary: 9 | Step: 634 | Reward: 1.25
Summary: 10 | Step: 640 | Reward: 0.05
Summary: 11 | Step: 663 | Reward: 1.23
Summary: 12 | Step: 767 | Reward: -2.0700000000000003
Summary: 13 | Step: 768 | Reward: 0.02
Summary: 14 | Step: 784 | Reward: 1.09
Summary: 15 | Step: 809 | Reward: 1.4100000000000001
Summary: 16 | Step: 856 | Reward: 1.22
Summary: 17 | Step: 888 | Reward: 1.27
Summary: 18 | Step: 896 | Reward: 0.16
Summary: 19 | Step: 931 | Reward: 1.19
Summary: 20 | Step: 961 | Reward: 1.23
Summary: 21 | Step: 1011 | Reward: 1.14
Summary: 22 | Step: 1024 | Reward: -0.3699999999999999
Summary: 23 | Step: 1072 | Reward: -1.9300000000000002
Summary: 24 | Step: 1152 | Reward: -1.2700000000000005
Summary: 25 | Step: 1280 | Reward: -2.8999999999999964
Summary: 26 | Step: 1408 | Reward: -0.8700000000000003
Summary: 27 | Step: 1413 | Reward: 1.01
Summary: 28 | Step: 1536 | Reward: -1.5300000000000007
Summary: 29 | Step: 1594 | Reward: 0.039999999999999813
Summary: 30 | Step: 1664 | Reward: -1.3300000000000005
Summary: 31 | Step: 1728 | Reward: -1.6800000000000002
Summary: 32 | Step: 1740 | Reward: 1.08
Summary: 33 | Step: 1765 | Reward: 1.13
Summary: 34 | Step: 1769 | Reward: -1.06
Summary: 35 | Step: 1775 | Reward: -1.16
Summary: 36 | Step: 1792 | Reward: 0.26999999999999996
Summary: 37 | Step: 1806 | Reward: 1.26
Summary: 38 | Step: 1839 | Reward: 1.08
Summary: 39 | Step: 1908 | Reward: 0.6100000000000003
