
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 124 | Reward: -3.2799999999999985
Summary: 2 | Step: 128 | Reward: -0.13
Summary: 3 | Step: 243 | Reward: -2.620000000000001
Summary: 4 | Step: 256 | Reward: -0.019999999999999993
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 128 | Reward: -1.640000000000001
Summary: 2 | Step: 132 | Reward: 0.99
Summary: 3 | Step: 256 | Reward: -3.0499999999999954
Summary: 4 | Step: 309 | Reward: -2.460000000000001
Summary: 5 | Step: 310 | Reward: -0.98
Summary: 6 | Step: 384 | Reward: -0.9700000000000003
Summary: 7 | Step: 416 | Reward: 0.85
Summary: 8 | Step: 454 | Reward: 1.18
Summary: 9 | Step: 512 | Reward: -0.3799999999999995
Summary: 10 | Step: 551 | Reward: 0.5700000000000002
Summary: 11 | Step: 640 | Reward: -1.3700000000000006
Summary: 12 | Step: 647 | Reward: -1.07
Summary: 13 | Step: 702 | Reward: -1.3699999999999997
Summary: 14 | Step: 768 | Reward: -0.4299999999999998
Summary: 15 | Step: 862 | Reward: -0.0800000000000003
Summary: 16 | Step: 896 | Reward: -0.29999999999999993
Summary: 17 | Step: 991 | Reward: -2.6000000000000005
Summary: 18 | Step: 1024 | Reward: -0.25000000000000006
Summary: 19 | Step: 1049 | Reward: 1.13
Summary: 20 | Step: 1083 | Reward: -1.58
Summary: 21 | Step: 1152 | Reward: -0.7200000000000002
Summary: 22 | Step: 1217 | Reward: -2.22
Summary: 23 | Step: 1228 | Reward: 1.06
Summary: 24 | Step: 1280 | Reward: -0.010000000000000023
Summary: 25 | Step: 1283 | Reward: -1.08
Summary: 26 | Step: 1353 | Reward: 0.84
Summary: 27 | Step: 1408 | Reward: -0.15999999999999973
Summary: 28 | Step: 1426 | Reward: 0.99
Summary: 29 | Step: 1471 | Reward: 1.25
Summary: 30 | Step: 1536 | Reward: -0.02999999999999971
Summary: 31 | Step: 1548 | Reward: 1.01
Summary: 32 | Step: 1573 | Reward: -0.99
Summary: 33 | Step: 1664 | Reward: -1.5400000000000007
Summary: 34 | Step: 1719 | Reward: -2.0700000000000003
Summary: 35 | Step: 1721 | Reward: -1.03
Summary: 36 | Step: 1750 | Reward: 1.0
Summary: 37 | Step: 1792 | Reward: -0.3499999999999999
Summary: 38 | Step: 1815 | Reward: 1.3
Summary: 39 | Step: 1920 | Reward: -1.2600000000000005
Summary: 40 | Step: 1953 | Reward: 0.7999999999999998
Summary: 41 | Step: 2025 | Reward: -2.3600000000000003
Summary: 42 | Step: 2031 | Reward: -1.09
Summary: 43 | Step: 2048 | Reward: -0.36
Summary: 44 | Step: 2099 | Reward: -1.73
Summary: 45 | Step: 2108 | Reward: -0.96
Summary: 46 | Step: 2134 | Reward: -1.5299999999999998
Summary: 47 | Step: 2171 | Reward: 0.6000000000000004
Summary: 48 | Step: 2176 | Reward: -0.039999999999999994
Summary: 49 | Step: 2214 | Reward: -1.9900000000000004
Summary: 50 | Step: 2271 | Reward: 1.0700000000000003
Summary: 51 | Step: 2304 | Reward: -0.1800000000000001
Summary: 52 | Step: 2343 | Reward: -1.2700000000000002
Summary: 53 | Step: 2432 | Reward: -1.580000000000001
Summary: 54 | Step: 2520 | Reward: 0.5
Summary: 55 | Step: 2560 | Reward: -1.0900000000000003
Summary: 56 | Step: 2687 | Reward: -0.33000000000000074
