Summary: 30 | Step: 2560 | Reward: -3.249999999999995
Summary: 0 | Step: 0 | Reward: 0
Summary: 1 | Step: 128 | Reward: -2.4099999999999997
Summary: 0 | Step: 0 | Reward: 0 
Summary: 1 | Step: 128 | Reward: -3.529999999999994 
 Summary: 0 | Step: 0 | Reward: 0
 Summary: 1 | Step: 128 | Reward: -2.689999999999997
 Summary: 2 | Step: 256 | Reward: -3.319999999999995
 Summary: 3 | Step: 316 | Reward: -1.6700000000000008
 Summary: 4 | Step: 384 | Reward: -0.9500000000000002
 Summary: 5 | Step: 512 | Reward: -2.27
 Summary: 6 | Step: 640 | Reward: -2.969999999999996
 Summary: 7 | Step: 685 | Reward: -1.2700000000000007
 Summary: 8 | Step: 688 | Reward: -0.08
 Summary: 9 | Step: 768 | Reward: -1.4100000000000008
 Summary: 10 | Step: 896 | Reward: -3.599999999999994
 Summary: 11 | Step: 1024 | Reward: -2.759999999999997
 Summary: 12 | Step: 1044 | Reward: -0.58
 Summary: 13 | Step: 1133 | Reward: -1.9300000000000008
 Summary: 14 | Step: 1146 | Reward: -0.51
 Summary: 15 | Step: 1152 | Reward: -0.22999999999999998
 Summary: 16 | Step: 1269 | Reward: 0.1000000000000002
 Summary: 17 | Step: 1280 | Reward: -0.2
 Summary: 18 | Step: 1408 | Reward: -3.4599999999999946
 Summary: 19 | Step: 1463 | Reward: -1.2100000000000006
 Summary: 20 | Step: 1494 | Reward: -0.7800000000000002
 Summary: 21 | Step: 1536 | Reward: -0.84
 Summary: 22 | Step: 1587 | Reward: -1.3600000000000005
 Summary: 23 | Step: 1603 | Reward: -0.5900000000000001
 Summary: 24 | Step: 1664 | Reward: -1.3700000000000006
 Summary: 25 | Step: 1792 | Reward: -1.920000000000001
 Summary: 26 | Step: 1920 | Reward: -2.5499999999999985
 Summary: 27 | Step: 1986 | Reward: -0.15000000000000036
 Summary: 28 | Step: 1997 | Reward: 0.78
 Summary: 29 | Step: 2046 | Reward: -0.63
 Summary: 30 | Step: 2048 | Reward: 0.04
 Summary: 31 | Step: 2176 | Reward: -2.549999999999998
 Summary: 32 | Step: 2304 | Reward: -2.8999999999999964
 Summary: 33 | Step: 2398 | Reward: -2.6699999999999986
 Summary: 34 | Step: 2432 | Reward: -0.6500000000000001
 Summary: 35 | Step: 2560 | Reward: -1.990000000000001
 Summary: 36 | Step: 2670 | Reward: -2.979999999999997
 Summary: 37 | Step: 2688 | Reward: -0.4799999999999999
 Summary: 38 | Step: 2816 | Reward: -3.1799999999999953
 Summary: 39 | Step: 2835 | Reward: -0.4599999999999999
 Summary: 40 | Step: 2944 | Reward: -2.0900000000000003
 Summary: 41 | Step: 3072 | Reward: -3.3899999999999952
 Summary: 42 | Step: 3200 | Reward: -2.1999999999999993
 Summary: 43 | Step: 3328 | Reward: -2.5499999999999985
 Summary: 44 | Step: 3456 | Reward: -2.34
 Summary: 45 | Step: 3584 | Reward: -3.389999999999995
 Summary: 46 | Step: 3712 | Reward: -3.529999999999994
 Summary: 47 | Step: 3760 | Reward: -0.7900000000000003
 Summary: 48 | Step: 3840 | Reward: -1.6200000000000008
 Summary: 49 | Step: 3968 | Reward: -2.27
 Summary: 50 | Step: 4096 | Reward: -1.8500000000000008
 Summary: 51 | Step: 4163 | Reward: -1.3200000000000005
 Summary: 52 | Step: 4224 | Reward: -1.0200000000000002
 Summary: 53 | Step: 4305 | Reward: -0.27000000000000046
 Summary: 54 | Step: 4337 | Reward: -0.4799999999999999
 Summary: 55 | Step: 4352 | Reward: -0.26
 Summary: 56 | Step: 4389 | Reward: -0.5900000000000001
 Summary: 57 | Step: 4480 | Reward: -1.6100000000000008
 Summary: 58 | Step: 4551 | Reward: -2.080000000000001
 Summary: 59 | Step: 4595 | Reward: -1.4300000000000006
 Summary: 60 | Step: 4608 | Reward: -0.58
 Summary: 61 | Step: 4631 | Reward: -0.59
 Summary: 62 | Step: 4672 | Reward: -1.4200000000000006
 Summary: 63 | Step: 4701 | Reward: -0.8900000000000003
 Summary: 64 | Step: 4736 | Reward: -0.9100000000000003
 Summary: 65 | Step: 4814 | Reward: -0.9600000000000004
 Summary: 66 | Step: 4864 | Reward: -1.1000000000000005
 Summary: 67 | Step: 4971 | Reward: -2.899999999999997
 Summary: 68 | Step: 4992 | Reward: -0.5599999999999999
 Summary: 69 | Step: 5006 | Reward: -0.21000000000000005
 Summary: 70 | Step: 5022 | Reward: -0.31
 Summary: 71 | Step: 5049 | Reward: -0.7200000000000002
 Summary: 72 | Step: 5061 | Reward: -0.04000000000000001
 Summary: 73 | Step: 5115 | Reward: -1.0200000000000002
 Summary: 74 | Step: 5120 | Reward: -0.11
 Summary: 75 | Step: 5248 | Reward: -2.549999999999999
 Summary: 76 | Step: 5272 | Reward: -0.4299999999999998
 Summary: 77 | Step: 5376 | Reward: -1.9100000000000006
 Summary: 78 | Step: 5504 | Reward: -2.339999999999999
 Summary: 79 | Step: 5545 | Reward: -1.0000000000000004
 Summary: 80 | Step: 5584 | Reward: -0.9700000000000003
 Summary: 81 | Step: 5620 | Reward: -1.0300000000000005
 Summary: 82 | Step: 5621 | Reward: -0.05
 Summary: 83 | Step: 5632 | Reward: -0.13
 Summary: 84 | Step: 5664 | Reward: -0.6200000000000001
 Summary: 85 | Step: 5760 | Reward: -1.16
 Summary: 86 | Step: 5777 | Reward: -0.4999999999999999
 Summary: 87 | Step: 5792 | Reward: -0.68
 Summary: 88 | Step: 5806 | Reward: -0.56
 Summary: 89 | Step: 5832 | Reward: -1.0200000000000005
 Summary: 90 | Step: 5867 | Reward: -0.4899999999999999
 Summary: 91 | Step: 5887 | Reward: -0.7900000000000001
 Summary: 92 | Step: 5888 | Reward: -0.05
 Summary: 93 | Step: 5903 | Reward: -0.68
 Summary: 94 | Step: 5908 | Reward: -0.18
 Summary: 95 | Step: 6016 | Reward: -2.32
 Summary: 96 | Step: 6144 | Reward: -1.7100000000000009
 Summary: 97 | Step: 6173 | Reward: -1.0300000000000002
 Summary: 98 | Step: 6210 | Reward: 0.4600000000000003
 Summary: 99 | Step: 6272 | Reward: -1.4200000000000006
 Summary: 100 | Step: 6350 | Reward: -0.5399999999999996
 Summary: 101 | Step: 6362 | Reward: 0.87
 Summary: 102 | Step: 6386 | Reward: -0.4999999999999999
 Summary: 103 | Step: 6388 | Reward: 0.95
 Summary: 104 | Step: 6393 | Reward: 0.03
 Summary: 105 | Step: 6400 | Reward: -0.14000000000000004
 Summary: 106 | Step: 6416 | Reward: -0.5900000000000001
 Summary: 107 | Step: 6444 | Reward: -0.8400000000000002
 Summary: 108 | Step: 6466 | Reward: -0.3999999999999998
 Summary: 109 | Step: 6235 | Reward: 0
 Summary: 110 | Step: 6241 | Reward: -0.020000000000000007
 Summary: 111 | Step: 6263 | Reward: -0.68
 Summary: 112 | Step: 6297 | Reward: -0.9300000000000004
 Summary: 113 | Step: 6325 | Reward: -0.8400000000000002
 Summary: 114 | Step: 6419 | Reward: -2.7399999999999975
 Summary: 115 | Step: 6425 | Reward: -0.09
 Summary: 116 | Step: 6522 | Reward: -1.770000000000001
 Summary: 117 | Step: 6553 | Reward: -0.6400000000000001
 Summary: 118 | Step: 6629 | Reward: -0.3000000000000005
 Summary: 119 | Step: 6653 | Reward: -0.7100000000000001
 Summary: 120 | Step: 6681 | Reward: -0.14
 Summary: 121 | Step: 6768 | Reward: -1.6900000000000006
 Summary: 122 | Step: 6779 | Reward: 0.08000000000000002
 Summary: 123 | Step: 6799 | Reward: 0.89
 Summary: 124 | Step: 6809 | Reward: -0.15000000000000005
 Summary: 125 | Step: 6823 | Reward: 0.98
 Summary: 126 | Step: 6845 | Reward: 0.7200000000000001
 Summary: 127 | Step: 6920 | Reward: -1.9300000000000013
 Summary: 128 | Step: 6929 | Reward: -0.37999999999999995
 Summary: 129 | Step: 6937 | Reward: -0.12000000000000001
 Summary: 130 | Step: 6948 | Reward: -0.06
 Summary: 131 | Step: 6979 | Reward: -1.1300000000000003
 Summary: 132 | Step: 7005 | Reward: -0.8800000000000002
