INT1 | INT2 | INT3 | INT4 
0.001297 | 0.001648 | 0.001343 | 0.001251 | 
0.001297 | 0.001633 | 0.001358 | 0.001251 | 
0.001312 | 0.001648 | 0.001358 | 0.001266 | 
0.001312 | 0.001648 | 0.001373 | 0.001282 | 
0.001328 | 0.001663 | 0.001389 | 0.001297 | 
0.001328 | 0.001678 | 0.001404 | 0.001297 | 
0.001343 | 0.001694 | 0.001404 | 0.001312 | 
0.001343 | 0.001709 | 0.001419 | 0.001328 | 
0.001343 | 0.001709 | 0.001419 | 0.001328 | 
0.001358 | 0.001724 | 0.001434 | 0.001343 | 
0.001373 | 0.001740 | 0.001450 | 0.001358 | 
0.001373 | 0.001755 | 0.001450 | 0.001358 | 
0.001389 | 0.001770 | 0.001465 | 0.001373 | 
0.001404 | 0.001801 | 0.001480 | 0.001389 | 
0.001419 | 0.001816 | 0.001495 | 0.001404 | 
0.001434 | 0.001846 | 0.001495 | 0.001419 | 
0.001434 | 0.001862 | 0.001511 | 0.001450 | 
0.001450 | 0.001877 | 0.001526 | 0.001465 | 
0.001480 | 0.001907 | 0.001541 | 0.001480 | 
0.001495 | 0.001923 | 0.001556 | 0.001480 | 
0.001541 | 0.001953 | 0.001587 | 0.001511 | 
0.001572 | 0.001968 | 0.001602 | 0.001526 | 
0.001572 | 0.001999 | 0.001617 | 0.001541 | 
0.001587 | 0.002014 | 0.001633 | 0.001556 | 
0.001602 | 0.002045 | 0.001648 | 0.001572 | 
0.001648 | 0.002060 | 0.001663 | 0.001587 | 
0.001678 | 0.002075 | 0.001678 | 0.001602 | 
0.001694 | 0.002106 | 0.001694 | 0.001617 | 
0.001709 | 0.002121 | 0.001709 | 0.001648 | 
0.001709 | 0.002136 | 0.001724 | 0.001663 | 
0.001740 | 0.002167 | 0.001755 | 0.001694 | 
0.001755 | 0.002197 | 0.001770 | 0.001709 | 
0.001785 | 0.002228 | 0.001785 | 0.001740 | 
0.001801 | 0.002274 | 0.001816 | 0.001755 | 
0.001831 | 0.002304 | 0.001831 | 0.001785 | 
